,Name,College_or_above_percentage,Some_college_percentage,Highschool_percentage,No_highschool_percentage
463,"Fayette County, Georgia",46.8,27.6,21.2,4.5
464,"Floyd County, Georgia",21.4,28.9,33.4,16.3
465,"Forsyth County, Georgia",54.8,23.2,15.3,6.6
466,"Franklin County, Georgia",17.1,28.4,36.1,18.4
467,"Fulton County, Georgia",54.5,21.3,17.3,6.9
468,"Gilmer County, Georgia",21.4,27.5,35.5,15.6
469,"Glascock County, Georgia",10.3,28.1,37.7,23.9
470,"Glynn County, Georgia",29.7,32.0,26.9,11.4
471,"Gordon County, Georgia",15.9,27.4,34.7,22.1
472,"Grady County, Georgia",15.3,27.5,38.5,18.7
473,"Greene County, Georgia",30.5,25.6,30.8,13.0
474,"Gwinnett County, Georgia",37.4,28.0,22.6,12.1
475,"Habersham County, Georgia",21.1,24.8,34.3,19.8
476,"Hall County, Georgia",24.0,27.2,28.1,20.8
477,"Hancock County, Georgia",9.3,23.4,37.5,29.7
478,"Haralson County, Georgia",17.3,28.6,36.5,17.7
479,"Harris County, Georgia",32.4,35.4,25.9,6.4
480,"Hart County, Georgia",17.2,30.0,35.6,17.2
481,"Heard County, Georgia",9.2,30.8,41.9,18.1
482,"Henry County, Georgia",28.1,32.4,31.3,8.2
483,"Houston County, Georgia",31.0,34.7,26.8,7.4
484,"Irwin County, Georgia",17.2,27.5,36.6,18.8
485,"Jackson County, Georgia",23.5,29.8,32.1,14.7
486,"Jasper County, Georgia",14.6,28.4,42.1,14.9
487,"Jeff Davis County, Georgia",11.0,30.3,37.1,21.6
488,"Jefferson County, Georgia",10.7,27.5,40.3,21.5
489,"Jenkins County, Georgia",5.2,25.9,47.1,21.9
490,"Johnson County, Georgia",7.0,18.8,48.2,26.0
491,"Jones County, Georgia",20.8,32.3,38.6,8.3
492,"Lamar County, Georgia",14.0,33.0,40.1,12.8
493,"Lanier County, Georgia",19.7,27.6,37.6,15.1
494,"Laurens County, Georgia",17.1,27.8,41.4,13.7
495,"Lee County, Georgia",27.1,35.7,29.3,7.8
496,"Liberty County, Georgia",19.3,43.0,29.6,8.1
497,"Lincoln County, Georgia",13.9,27.0,43.6,15.4
498,"Long County, Georgia",14.7,30.2,41.1,14.0
499,"Lowndes County, Georgia",26.2,29.4,32.7,11.7
500,"Lumpkin County, Georgia",31.4,26.4,28.2,14.0
501,"McDuffie County, Georgia",15.0,28.9,40.5,15.6
502,"McIntosh County, Georgia",17.5,30.4,38.6,13.5
503,"Macon County, Georgia",10.1,29.8,32.5,27.7
504,"Madison County, Georgia",19.2,28.3,35.7,16.7
505,"Marion County, Georgia",13.4,29.1,37.4,20.1
506,"Meriwether County, Georgia",10.8,30.4,40.3,18.5
507,"Miller County, Georgia",18.6,37.4,29.4,14.6
508,"Mitchell County, Georgia",11.7,29.3,39.0,20.1
509,"Monroe County, Georgia",26.6,26.3,33.9,13.2
510,"Montgomery County, Georgia",16.5,28.8,38.1,16.7
511,"Morgan County, Georgia",24.2,27.9,36.6,11.3
512,"Murray County, Georgia",10.6,27.4,34.2,27.7
513,"Muscogee County, Georgia",27.5,34.2,26.5,11.9
514,"Newton County, Georgia",20.9,33.9,32.4,12.9
515,"Oconee County, Georgia",50.6,24.7,19.6,5.1
516,"Oglethorpe County, Georgia",19.6,25.9,38.0,16.5
517,"Paulding County, Georgia",23.9,36.0,30.6,9.5
518,"Peach County, Georgia",22.0,30.7,31.7,15.6
519,"Pickens County, Georgia",22.7,31.6,33.3,12.5
520,"Pierce County, Georgia",13.4,27.5,43.2,16.0
521,"Pike County, Georgia",19.5,29.9,37.8,12.9
522,"Polk County, Georgia",12.7,29.2,38.8,19.3
523,"Pulaski County, Georgia",13.1,30.8,35.6,20.5
524,"Putnam County, Georgia",23.5,27.4,36.8,12.3
525,"Quitman County, Georgia",11.5,26.2,33.3,29.0
526,"Rabun County, Georgia",28.4,27.3,29.3,15.0
527,"Randolph County, Georgia",12.3,28.8,32.9,26.0
528,"Richmond County, Georgia",22.5,31.2,32.1,14.3
529,"Rockdale County, Georgia",27.2,32.1,30.0,10.7
530,"Schley County, Georgia",12.1,39.1,34.6,14.2
531,"Screven County, Georgia",14.6,28.9,39.6,16.8
532,"Seminole County, Georgia",15.4,31.4,37.4,15.7
533,"Spalding County, Georgia",18.1,23.8,41.0,17.1
534,"Stephens County, Georgia",18.0,23.9,39.7,18.4
535,"Stewart County, Georgia",13.6,23.2,35.8,27.3
536,"Sumter County, Georgia",20.0,28.8,35.4,15.8
537,"Talbot County, Georgia",12.6,26.4,43.6,17.4
538,"Taliaferro County, Georgia",5.7,21.8,50.3,22.2
539,"Tattnall County, Georgia",14.0,23.7,39.7,22.6
540,"Taylor County, Georgia",12.5,27.9,39.1,20.5
541,"Telfair County, Georgia",7.0,15.1,49.7,28.2
542,"Terrell County, Georgia",10.2,32.7,33.7,23.5
543,"Thomas County, Georgia",24.1,31.0,31.0,13.9
544,"Tift County, Georgia",17.3,31.9,34.0,16.8
545,"Toombs County, Georgia",16.6,30.8,36.1,16.5
546,"Towns County, Georgia",32.6,31.5,27.6,8.3
547,"Treutlen County, Georgia",16.3,19.1,41.0,23.6
548,"Troup County, Georgia",20.1,30.1,35.0,14.8
549,"Turner County, Georgia",10.8,33.9,34.6,20.8
550,"Twiggs County, Georgia",10.3,27.4,41.9,20.4
551,"Union County, Georgia",22.7,30.3,36.1,10.9
552,"Upson County, Georgia",13.6,31.9,37.2,17.3
553,"Walker County, Georgia",19.2,29.8,34.2,16.8
554,"Walton County, Georgia",22.5,29.8,35.0,12.8
555,"Ware County, Georgia",15.2,25.7,40.6,18.5
556,"Warren County, Georgia",10.5,23.2,41.3,24.9
557,"Washington County, Georgia",15.1,22.5,46.5,15.9
558,"Wayne County, Georgia",12.6,29.6,42.4,15.4
559,"Webster County, Georgia",11.0,36.4,32.3,20.4
560,"Wheeler County, Georgia",15.1,18.9,40.9,25.1
561,"White County, Georgia",20.2,32.8,31.7,15.3
562,"Whitfield County, Georgia",16.4,24.3,30.7,28.6
563,"Wilcox County, Georgia",12.0,28.2,43.3,16.5
564,"Wilkes County, Georgia",11.4,24.5,45.4,18.8
565,"Wilkinson County, Georgia",11.2,24.8,50.1,13.9
566,"Worth County, Georgia",10.3,31.4,43.3,15.0
567,"Hawaii, Hawaii",33.6,31.6,27.3,7.5
568,"Hawaii County, Hawaii",29.5,33.1,30.2,7.1
569,"Honolulu County, Hawaii",35.7,31.0,25.7,7.6
570,"Kalawao County, Hawaii",39.5,28.6,30.5,1.4
571,"Kauai County, Hawaii",28.5,33.0,30.9,7.6
572,"Maui County, Hawaii",28.3,32.8,31.2,7.7
573,"Idaho, Idaho",28.7,35.9,26.7,8.7
574,"Ada County, Idaho",40.1,34.4,20.8,4.7
575,"Adams County, Idaho",18.8,37.8,36.2,7.2
576,"Bannock County, Idaho",27.0,38.2,27.3,7.5
577,"Bear Lake County, Idaho",18.3,39.3,36.2,6.2
578,"Benewah County, Idaho",17.9,33.3,37.1,11.8
579,"Bingham County, Idaho",20.5,35.8,33.1,10.6
580,"Blaine County, Idaho",39.3,26.4,22.9,11.4
581,"Boise County, Idaho",28.4,35.6,30.0,6.0
582,"Bonner County, Idaho",26.6,35.5,29.4,8.5
583,"Bonneville County, Idaho",30.9,36.3,25.2,7.7
584,"Boundary County, Idaho",18.0,30.5,43.7,7.8
585,"Butte County, Idaho",17.2,42.2,32.5,8.2
586,"Camas County, Idaho",22.1,27.5,33.2,17.2
587,"Canyon County, Idaho",20.2,35.1,31.0,13.7
588,"Caribou County, Idaho",17.5,39.1,33.9,9.4
589,"Cassia County, Idaho",19.4,36.8,28.7,15.1
590,"Clark County, Idaho",16.7,16.3,31.2,35.8
591,"Clearwater County, Idaho",17.3,40.1,34.5,8.1
592,"Custer County, Idaho",29.7,35.7,23.8,10.8
593,"Elmore County, Idaho",20.7,41.1,28.8,9.4
594,"Franklin County, Idaho",17.1,31.5,43.1,8.3
595,"Fremont County, Idaho",19.6,39.4,29.6,11.4
596,"Gem County, Idaho",18.9,32.5,36.1,12.6
597,"Gooding County, Idaho",16.9,26.9,36.8,19.5
598,"Idaho County, Idaho",20.7,36.4,35.1,7.8
599,"Jefferson County, Idaho",25.2,41.3,24.7,8.8
600,"Jerome County, Idaho",14.8,32.9,30.6,21.8
601,"Kootenai County, Idaho",26.6,40.5,26.8,6.0
602,"Latah County, Idaho",44.4,31.8,20.2,3.6
603,"Lemhi County, Idaho",23.4,41.1,27.5,8.0
604,"Lewis County, Idaho",19.1,42.4,27.6,10.9
605,"Lincoln County, Idaho",11.1,36.5,31.4,20.9
606,"Madison County, Idaho",38.6,42.3,14.5,4.6
607,"Minidoka County, Idaho",13.8,32.9,31.3,22.0
608,"Nez Perce County, Idaho",24.1,37.8,30.7,7.3
609,"Oneida County, Idaho",22.2,35.8,32.8,9.2
610,"Owyhee County, Idaho",12.5,30.2,32.0,25.2
611,"Payette County, Idaho",16.4,32.8,37.4,13.4
612,"Power County, Idaho",15.7,28.9,35.2,20.1
613,"Shoshone County, Idaho",10.6,38.6,37.5,13.3
614,"Teton County, Idaho",41.4,34.8,16.9,6.9
615,"Twin Falls County, Idaho",23.3,37.3,26.9,12.4
616,"Valley County, Idaho",30.3,36.6,24.7,8.4
617,"Washington County, Idaho",19.0,38.1,30.3,12.6
618,"Illinois, Illinois",35.5,28.6,25.6,10.3
619,"Adams County, Illinois",25.2,32.6,34.4,7.8
620,"Alexander County, Illinois",11.5,35.5,38.7,14.2
621,"Bond County, Illinois",21.7,35.0,33.2,10.1
622,"Boone County, Illinois",24.2,30.2,32.3,13.3
623,"Brown County, Illinois",12.8,30.4,39.1,17.6
624,"Bureau County, Illinois",20.7,33.9,36.0,9.3
625,"Calhoun County, Illinois",15.7,36.3,41.7,6.4
626,"Carroll County, Illinois",19.7,32.8,37.6,9.9
627,"Cass County, Illinois",16.0,26.8,40.6,16.6
628,"Champaign County, Illinois",45.0,28.0,21.9,5.1
629,"Christian County, Illinois",17.9,30.4,39.9,11.8
630,"Clark County, Illinois",21.8,32.3,39.1,6.8
631,"Clay County, Illinois",15.3,34.1,38.2,12.3
632,"Clinton County, Illinois",21.7,36.2,32.2,9.8
633,"Coles County, Illinois",26.1,33.8,31.1,9.1
634,"Cook County, Illinois",40.0,25.1,22.6,12.3
635,"Crawford County, Illinois",16.5,40.7,28.9,13.9
636,"Cumberland County, Illinois",18.9,32.8,40.2,8.1
637,"DeKalb County, Illinois",32.4,34.4,25.4,7.9
638,"De Witt County, Illinois",20.4,32.7,39.6,7.3
639,"Douglas County, Illinois",20.1,30.3,33.1,16.5
640,"DuPage County, Illinois",50.3,24.8,18.2,6.7
641,"Edgar County, Illinois",18.0,33.4,38.7,10.0
642,"Edwards County, Illinois",13.3,44.5,34.3,7.8
643,"Effingham County, Illinois",23.2,36.0,33.9,6.9
644,"Fayette County, Illinois",12.4,34.2,40.0,13.5
645,"Ford County, Illinois",21.6,33.6,35.9,8.8
646,"Franklin County, Illinois",17.0,38.9,32.8,11.2
647,"Fulton County, Illinois",18.3,34.7,36.3,10.7
648,"Gallatin County, Illinois",11.5,36.3,38.8,13.4
649,"Greene County, Illinois",15.3,31.0,46.5,7.2
650,"Grundy County, Illinois",25.4,36.4,31.7,6.4
651,"Hamilton County, Illinois",21.2,34.9,30.4,13.5
652,"Hancock County, Illinois",22.3,35.0,36.2,6.6
653,"Hardin County, Illinois",11.2,39.4,36.1,13.3
654,"Henderson County, Illinois",17.5,32.7,41.8,8.0
655,"Henry County, Illinois",23.7,34.6,34.1,7.6
656,"Iroquois County, Illinois",15.4,33.3,39.4,11.9
657,"Jackson County, Illinois",35.5,32.8,24.3,7.4
658,"Jasper County, Illinois",18.8,36.9,36.9,7.4
659,"Jefferson County, Illinois",17.4,40.6,31.1,10.9
660,"Jersey County, Illinois",24.3,32.7,36.1,6.9
661,"Jo Daviess County, Illinois",26.4,31.2,34.8,7.6
662,"Johnson County, Illinois",16.0,33.4,32.8,17.7
663,"Kane County, Illinois",34.7,28.2,22.8,14.3
664,"Kankakee County, Illinois",20.6,33.0,34.6,11.7
665,"Kendall County, Illinois",35.9,33.1,23.3,7.7
666,"Knox County, Illinois",19.2,34.2,35.3,11.3
667,"Lake County, Illinois",46.1,24.6,20.1,9.2
668,"La Salle County, Illinois",18.4,35.5,35.7,10.4
669,"Lawrence County, Illinois",14.0,34.4,36.6,15.0
670,"Lee County, Illinois",18.7,36.6,34.3,10.4
671,"Livingston County, Illinois",16.6,31.1,42.1,10.2
672,"Logan County, Illinois",19.5,33.8,36.6,10.0
673,"McDonough County, Illinois",32.4,32.1,30.8,4.8
674,"McHenry County, Illinois",35.2,32.2,25.8,6.7
675,"McLean County, Illinois",44.6,27.6,24.1,3.8
676,"Macon County, Illinois",23.6,33.4,34.3,8.7
677,"Macoupin County, Illinois",18.5,33.0,40.0,8.4
678,"Madison County, Illinois",27.8,36.1,28.9,7.3
679,"Marion County, Illinois",16.2,39.0,34.2,10.5
680,"Marshall County, Illinois",18.2,36.0,38.2,7.6
681,"Mason County, Illinois",16.5,32.5,40.1,10.9
682,"Massac County, Illinois",13.8,39.3,35.7,11.3
683,"Menard County, Illinois",23.3,37.1,34.9,4.8
684,"Mercer County, Illinois",18.0,34.0,40.3,7.8
685,"Monroe County, Illinois",36.6,33.0,26.3,4.2
686,"Montgomery County, Illinois",18.1,30.4,39.6,11.9
687,"Morgan County, Illinois",20.0,30.1,39.7,10.2
688,"Moultrie County, Illinois",20.5,30.9,34.7,14.0
689,"Ogle County, Illinois",21.8,34.6,34.0,9.6
690,"Peoria County, Illinois",31.1,32.5,28.2,8.2
691,"Perry County, Illinois",11.6,34.7,36.9,16.8
692,"Piatt County, Illinois",29.8,30.7,33.2,6.2
693,"Pike County, Illinois",15.6,33.0,41.1,10.3
694,"Pope County, Illinois",16.5,28.3,44.0,11.2
695,"Pulaski County, Illinois",11.7,38.0,39.9,10.4
696,"Putnam County, Illinois",19.2,37.0,36.8,7.0
697,"Randolph County, Illinois",12.9,33.2,38.7,15.2
698,"Richland County, Illinois",21.0,41.0,29.0,9.0
699,"Rock Island County, Illinois",23.8,35.9,29.1,11.1
700,"St. Clair County, Illinois",29.0,34.9,27.8,8.3
701,"Saline County, Illinois",19.9,39.4,28.0,12.6
702,"Sangamon County, Illinois",34.1,30.8,27.6,7.5
703,"Schuyler County, Illinois",20.5,35.5,35.0,9.0
704,"Scott County, Illinois",21.0,25.9,47.0,6.1
705,"Shelby County, Illinois",16.6,32.3,44.5,6.6
706,"Stark County, Illinois",18.3,31.4,39.7,10.5
707,"Stephenson County, Illinois",20.8,37.4,33.8,7.9
708,"Tazewell County, Illinois",26.0,35.3,31.9,6.8
709,"Union County, Illinois",23.1,31.2,34.9,10.8
710,"Vermilion County, Illinois",15.5,32.8,41.3,10.4
711,"Wabash County, Illinois",18.9,41.8,30.9,8.4
712,"Warren County, Illinois",22.7,32.0,33.4,12.0
713,"Washington County, Illinois",20.9,38.8,31.9,8.4
714,"Wayne County, Illinois",14.2,38.3,34.9,12.5
715,"White County, Illinois",17.1,39.0,34.7,9.1
716,"Whiteside County, Illinois",18.9,34.8,37.6,8.7
717,"Will County, Illinois",34.8,30.4,26.3,8.5
718,"Williamson County, Illinois",25.6,37.0,29.8,7.6
719,"Winnebago County, Illinois",23.0,34.0,30.8,12.2
720,"Woodford County, Illinois",33.8,30.4,30.3,5.5
721,"Indiana, Indiana",27.2,29.0,33.2,10.7
722,"Adams County, Indiana",15.0,27.9,42.1,15.0
723,"Allen County, Indiana",28.9,32.4,28.6,10.1
724,"Bartholomew County, Indiana",33.9,25.0,31.1,10.0
725,"Benton County, Indiana",18.4,31.7,39.5,10.5
726,"Blackford County, Indiana",13.7,30.0,47.4,8.9
727,"Boone County, Indiana",50.8,25.2,18.6,5.4
728,"Brown County, Indiana",29.3,31.0,33.0,6.6
729,"Carroll County, Indiana",15.4,31.6,41.0,12.0
730,"Cass County, Indiana",13.0,31.5,40.8,14.8
731,"Clark County, Indiana",20.7,33.9,35.6,9.8
732,"Clay County, Indiana",16.5,32.0,42.2,9.2
733,"Clinton County, Indiana",14.6,27.1,45.0,13.2
734,"Crawford County, Indiana",10.5,25.1,47.2,17.2
735,"Daviess County, Indiana",12.8,27.6,35.6,24.0
736,"Dearborn County, Indiana",25.7,26.8,37.8,9.7
737,"Decatur County, Indiana",19.5,26.6,45.6,8.3
738,"DeKalb County, Indiana",18.0,29.1,43.9,9.0
739,"Delaware County, Indiana",24.9,31.0,34.3,9.8
740,"Dubois County, Indiana",25.5,26.2,37.7,10.6
741,"Elkhart County, Indiana",19.5,27.0,34.6,18.9
742,"Fayette County, Indiana",14.8,24.2,44.5,16.5
743,"Floyd County, Indiana",30.1,30.5,30.3,9.0
744,"Fountain County, Indiana",14.0,30.4,44.3,11.3
745,"Franklin County, Indiana",20.4,27.2,41.1,11.3
746,"Fulton County, Indiana",14.5,32.5,39.9,13.1
747,"Gibson County, Indiana",18.6,32.5,41.3,7.6
748,"Grant County, Indiana",18.3,31.3,38.4,12.0
749,"Greene County, Indiana",14.8,33.0,40.2,12.0
750,"Hamilton County, Indiana",59.4,22.9,14.9,2.9
751,"Hancock County, Indiana",31.8,30.1,31.1,7.0
752,"Harrison County, Indiana",18.4,29.7,41.6,10.2
753,"Hendricks County, Indiana",38.9,28.5,26.9,5.7
754,"Henry County, Indiana",16.4,30.1,43.8,9.8
755,"Howard County, Indiana",21.1,32.3,37.5,9.2
756,"Huntington County, Indiana",21.0,29.2,41.7,8.1
757,"Jackson County, Indiana",17.9,30.4,40.5,11.2
758,"Jasper County, Indiana",15.1,29.7,44.5,10.6
759,"Jay County, Indiana",12.5,28.4,47.2,11.8
760,"Jefferson County, Indiana",17.3,30.4,41.6,10.7
761,"Jennings County, Indiana",12.8,30.6,44.9,11.7
762,"Johnson County, Indiana",32.3,28.5,31.1,8.1
763,"Knox County, Indiana",16.5,35.6,36.2,11.7
764,"Kosciusko County, Indiana",24.3,28.3,34.1,13.2
765,"LaGrange County, Indiana",11.5,19.5,30.1,38.9
766,"Lake County, Indiana",23.1,30.5,35.5,10.9
767,"LaPorte County, Indiana",19.1,30.8,39.4,10.7
768,"Lawrence County, Indiana",18.8,29.0,41.3,10.9
769,"Madison County, Indiana",18.3,30.8,40.1,10.9
770,"Marion County, Indiana",32.1,27.0,27.6,13.3
771,"Marshall County, Indiana",19.7,27.0,38.4,14.8
772,"Martin County, Indiana",12.6,31.5,43.2,12.6
773,"Miami County, Indiana",13.7,30.9,41.5,13.9
774,"Monroe County, Indiana",45.3,25.7,22.0,7.0
775,"Montgomery County, Indiana",20.8,29.1,40.5,9.6
776,"Morgan County, Indiana",18.6,29.3,40.3,11.9
777,"Newton County, Indiana",11.9,28.8,45.2,14.0
778,"Noble County, Indiana",15.4,28.5,39.9,16.1
779,"Ohio County, Indiana",14.4,31.8,41.6,12.2
780,"Orange County, Indiana",12.9,26.6,44.0,16.5
781,"Owen County, Indiana",14.7,28.1,42.6,14.7
782,"Parke County, Indiana",12.5,32.5,38.8,16.2
783,"Perry County, Indiana",16.0,28.4,46.1,9.5
784,"Pike County, Indiana",15.5,27.4,44.8,12.3
785,"Porter County, Indiana",28.6,30.5,34.3,6.5
786,"Posey County, Indiana",23.0,33.0,36.6,7.4
787,"Pulaski County, Indiana",12.9,31.2,43.9,12.0
788,"Putnam County, Indiana",16.9,30.3,41.8,11.1
789,"Randolph County, Indiana",16.4,30.3,42.0,11.3
790,"Ripley County, Indiana",19.6,28.7,42.0,9.8
791,"Rush County, Indiana",15.2,26.7,46.2,11.8
792,"St. Joseph County, Indiana",31.0,28.9,30.0,10.2
793,"Scott County, Indiana",13.2,25.4,42.1,19.2
794,"Shelby County, Indiana",19.0,25.9,43.5,11.7
795,"Spencer County, Indiana",17.3,31.0,42.8,8.9
796,"Starke County, Indiana",11.6,29.8,43.6,15.1
797,"Steuben County, Indiana",22.5,29.6,39.3,8.6
798,"Sullivan County, Indiana",12.7,32.3,43.3,11.7
799,"Switzerland County, Indiana",9.4,22.8,51.8,16.0
800,"Tippecanoe County, Indiana",39.7,25.2,27.2,7.9
801,"Tipton County, Indiana",25.9,25.0,39.9,9.2
802,"Union County, Indiana",19.2,27.9,40.7,12.3
803,"Vanderburgh County, Indiana",26.9,31.8,31.5,9.7
804,"Vermillion County, Indiana",15.7,33.5,42.5,8.3
805,"Vigo County, Indiana",24.9,32.2,32.5,10.4
806,"Wabash County, Indiana",18.9,27.9,42.9,10.3
807,"Warren County, Indiana",18.5,33.6,41.1,6.8
808,"Warrick County, Indiana",33.0,32.6,28.5,5.9
809,"Washington County, Indiana",12.4,30.2,42.6,14.8
810,"Wayne County, Indiana",19.8,31.5,36.4,12.2
811,"Wells County, Indiana",18.7,33.2,40.3,7.8
812,"White County, Indiana",16.7,32.3,40.3,10.8
813,"Whitley County, Indiana",22.4,32.6,36.5,8.6
814,"Iowa, Iowa",29.3,32.4,30.8,7.5
815,"Adair County, Iowa",19.5,34.9,40.7,5.0
816,"Adams County, Iowa",17.3,37.2,38.8,6.7
817,"Allamakee County, Iowa",18.2,31.8,38.4,11.6
818,"Appanoose County, Iowa",18.4,37.1,35.0,9.5
819,"Audubon County, Iowa",18.8,36.0,35.2,10.0
820,"Benton County, Iowa",20.4,36.0,38.3,5.3
821,"Black Hawk County, Iowa",29.2,32.7,29.9,8.2
822,"Boone County, Iowa",25.4,36.2,32.5,5.8
823,"Bremer County, Iowa",33.0,32.3,31.1,3.6
824,"Buchanan County, Iowa",22.1,35.5,36.3,6.1
825,"Buena Vista County, Iowa",20.8,27.0,30.1,22.1
826,"Butler County, Iowa",18.2,38.4,37.0,6.5
827,"Calhoun County, Iowa",19.7,36.2,38.0,6.1
828,"Carroll County, Iowa",23.4,36.8,33.1,6.7
829,"Cass County, Iowa",23.0,33.5,32.3,11.1
830,"Cedar County, Iowa",21.0,35.0,39.4,4.6
831,"Cerro Gordo County, Iowa",23.2,36.4,33.6,6.8
832,"Cherokee County, Iowa",22.7,33.5,36.2,7.7
833,"Chickasaw County, Iowa",17.8,31.1,44.7,6.4
834,"Clarke County, Iowa",15.9,29.3,40.3,14.5
835,"Clay County, Iowa",23.9,37.9,32.8,5.4
836,"Clayton County, Iowa",17.1,28.5,44.6,9.8
837,"Clinton County, Iowa",19.3,33.9,37.2,9.6
838,"Crawford County, Iowa",15.1,27.7,38.9,18.2
839,"Dallas County, Iowa",50.5,26.7,18.4,4.5
840,"Davis County, Iowa",18.7,32.3,31.1,17.9
841,"Decatur County, Iowa",26.5,25.4,37.8,10.2
842,"Delaware County, Iowa",17.4,30.5,43.0,9.1
843,"Des Moines County, Iowa",19.8,39.2,33.2,7.8
844,"Dickinson County, Iowa",32.2,37.4,26.3,4.1
845,"Dubuque County, Iowa",31.4,29.2,32.7,6.7
846,"Emmet County, Iowa",18.6,39.1,33.1,9.2
847,"Fayette County, Iowa",18.3,31.9,41.4,8.4
848,"Floyd County, Iowa",19.6,35.1,37.3,8.0
849,"Franklin County, Iowa",18.6,36.1,35.7,9.6
850,"Fremont County, Iowa",18.8,40.3,34.8,6.0
851,"Greene County, Iowa",19.8,35.3,38.3,6.6
852,"Grundy County, Iowa",27.2,36.2,31.7,4.9
853,"Guthrie County, Iowa",20.0,36.8,37.0,6.2
854,"Hamilton County, Iowa",24.0,37.6,32.0,6.4
855,"Hancock County, Iowa",22.1,34.2,36.7,7.1
856,"Hardin County, Iowa",21.5,36.2,34.9,7.4
857,"Harrison County, Iowa",19.1,34.5,39.1,7.3
858,"Henry County, Iowa",22.5,33.8,36.2,7.5
859,"Howard County, Iowa",18.6,33.8,38.8,8.8
860,"Humboldt County, Iowa",20.1,35.7,37.9,6.3
861,"Ida County, Iowa",17.6,34.7,39.7,8.0
862,"Iowa County, Iowa",21.9,35.4,37.1,5.6
863,"Jackson County, Iowa",19.7,32.1,41.3,6.9
864,"Jasper County, Iowa",19.2,33.5,41.2,6.2
865,"Jefferson County, Iowa",36.5,30.0,25.8,7.7
866,"Johnson County, Iowa",54.3,25.6,15.8,4.3
867,"Jones County, Iowa",19.9,34.3,39.4,6.4
868,"Keokuk County, Iowa",18.4,33.1,41.6,6.8
869,"Kossuth County, Iowa",18.2,38.8,36.6,6.4
870,"Lee County, Iowa",18.5,36.4,38.2,6.9
871,"Linn County, Iowa",34.1,34.2,26.4,5.4
872,"Louisa County, Iowa",16.9,29.6,37.8,15.7
873,"Lucas County, Iowa",16.6,34.0,42.4,7.0
874,"Lyon County, Iowa",19.2,34.4,38.3,8.0
875,"Madison County, Iowa",25.3,36.3,33.9,4.5
876,"Mahaska County, Iowa",21.3,29.7,40.8,8.3
877,"Marion County, Iowa",30.8,30.6,32.5,6.1
878,"Marshall County, Iowa",20.8,30.5,34.0,14.8
879,"Mills County, Iowa",26.0,34.7,32.9,6.4
880,"Mitchell County, Iowa",22.1,33.0,36.8,8.1
881,"Monona County, Iowa",15.7,37.6,39.3,7.5
882,"Monroe County, Iowa",19.9,31.2,38.8,10.2
883,"Montgomery County, Iowa",19.8,37.4,34.6,8.2
884,"Muscatine County, Iowa",21.8,32.3,34.9,10.9
885,"O'Brien County, Iowa",21.8,33.5,36.6,8.2
886,"Osceola County, Iowa",15.0,36.9,36.3,11.9
887,"Page County, Iowa",20.3,35.8,36.5,7.4
888,"Palo Alto County, Iowa",24.8,38.2,29.8,7.3
889,"Plymouth County, Iowa",22.3,36.8,34.6,6.4
890,"Pocahontas County, Iowa",15.9,37.1,36.6,10.4
891,"Polk County, Iowa",37.6,29.8,24.8,7.9
892,"Pottawattamie County, Iowa",21.9,34.7,33.1,10.3
893,"Poweshiek County, Iowa",28.1,27.2,38.5,6.2
894,"Ringgold County, Iowa",19.6,35.1,38.7,6.6
895,"Sac County, Iowa",17.8,38.5,36.3,7.4
896,"Scott County, Iowa",32.6,32.3,28.7,6.5
897,"Shelby County, Iowa",21.1,35.6,35.0,8.3
898,"Sioux County, Iowa",29.5,33.1,29.2,8.2
899,"Story County, Iowa",51.9,27.8,17.1,3.2
900,"Tama County, Iowa",15.6,34.6,41.1,8.7
901,"Taylor County, Iowa",14.8,36.4,39.1,9.8
902,"Union County, Iowa",22.4,35.3,32.8,9.5
903,"Van Buren County, Iowa",16.4,35.5,37.3,10.7
904,"Wapello County, Iowa",19.7,32.5,35.7,12.1
905,"Warren County, Iowa",31.3,33.1,31.5,4.1
906,"Washington County, Iowa",22.0,30.0,39.7,8.4
907,"Wayne County, Iowa",14.3,31.1,43.5,11.1
908,"Webster County, Iowa",21.1,36.3,34.0,8.7
909,"Winnebago County, Iowa",23.1,36.4,34.3,6.1
910,"Winneshiek County, Iowa",29.8,32.0,34.3,3.9
911,"Woodbury County, Iowa",23.5,32.4,31.7,12.3
912,"Worth County, Iowa",18.2,36.8,38.3,6.6
913,"Wright County, Iowa",16.3,37.9,38.5,7.3
914,"Kansas, Kansas",33.9,31.6,25.8,8.6
915,"Allen County, Kansas",18.2,38.2,36.0,7.6
916,"Anderson County, Kansas",18.6,30.3,40.5,10.5
917,"Atchison County, Kansas",20.8,29.8,42.1,7.3
918,"Barber County, Kansas",20.6,37.3,34.3,7.8
919,"Barton County, Kansas",21.3,36.6,30.8,11.3
920,"Bourbon County, Kansas",21.0,37.4,32.3,9.4
921,"Brown County, Kansas",19.1,35.1,38.6,7.2
922,"Butler County, Kansas",30.4,34.4,28.1,7.1
923,"Chase County, Kansas",27.1,37.5,29.2,6.1
924,"Chautauqua County, Kansas",14.5,37.4,33.6,14.5
925,"Cherokee County, Kansas",19.9,35.5,32.8,11.7
926,"Cheyenne County, Kansas",26.0,37.1,30.2,6.7
927,"Clark County, Kansas",30.4,39.6,23.7,6.3
928,"Clay County, Kansas",27.6,30.5,35.7,6.1
